protocol,environment,num_nodes,n,pdr_mean,pdr_std
AERIS-FULL,indoor_factory,50,30,0.605287,0.02258
AERIS-FULL,indoor_factory,100,30,0.603807,0.013372
AERIS-FULL,indoor_factory,200,30,0.595107,0.008133
AERIS-FULL,indoor_factory,300,30,0.594273,0.007116
AERIS-FULL,indoor_factory,500,30,0.5933,0.005488
AERIS-FULL,indoor_factory,800,30,0.593863,0.004754
AERIS-FULL,indoor_factory,1000,30,0.592643,0.003636
AERIS-FULL,indoor_office,50,30,0.935957,0.002252
AERIS-FULL,indoor_office,100,30,0.921547,0.004326
AERIS-FULL,indoor_office,200,30,0.91737,0.003251
AERIS-FULL,indoor_office,300,30,0.91598,0.003256
AERIS-FULL,indoor_office,500,30,0.91214,0.00319
AERIS-FULL,indoor_office,800,30,0.91263,0.003023
AERIS-FULL,indoor_office,1000,30,0.914037,0.003653
AERIS-FULL,outdoor_suburban,50,30,0.78731,0.012107
AERIS-FULL,outdoor_suburban,100,30,0.78005,0.008494
AERIS-FULL,outdoor_suburban,200,30,0.773263,0.005787
AERIS-FULL,outdoor_suburban,300,30,0.772147,0.004062
AERIS-FULL,outdoor_suburban,500,30,0.768987,0.004322
AERIS-FULL,outdoor_suburban,800,30,0.770593,0.003311
AERIS-FULL,outdoor_suburban,1000,30,0.769537,0.004047
AERIS-FULL,outdoor_urban,50,30,0.204373,0.023203
AERIS-FULL,outdoor_urban,100,30,0.20902,0.017197
AERIS-FULL,outdoor_urban,200,30,0.201083,0.008469
AERIS-FULL,outdoor_urban,300,30,0.199713,0.008992
AERIS-FULL,outdoor_urban,500,30,0.19956,0.006949
AERIS-FULL,outdoor_urban,800,30,0.200083,0.005651
AERIS-FULL,outdoor_urban,1000,30,0.200083,0.004416
AERIS-noCAS,indoor_factory,50,30,0.610017,0.021134
AERIS-noCAS,indoor_factory,100,30,0.60064,0.014793
AERIS-noCAS,indoor_factory,200,30,0.598837,0.011424
AERIS-noCAS,indoor_factory,300,30,0.593167,0.007056
AERIS-noCAS,indoor_factory,500,30,0.59318,0.006364
AERIS-noCAS,indoor_factory,800,30,0.59451,0.005887
AERIS-noCAS,indoor_factory,1000,30,0.59301,0.005008
AERIS-noCAS,indoor_office,50,30,0.954833,0.002213
AERIS-noCAS,indoor_office,100,30,0.93684,0.003217
AERIS-noCAS,indoor_office,200,30,0.93251,0.002381
AERIS-noCAS,indoor_office,300,30,0.926413,0.002561
AERIS-noCAS,indoor_office,500,30,0.926057,0.002146
AERIS-noCAS,indoor_office,800,30,0.92713,0.003168
AERIS-noCAS,indoor_office,1000,30,0.923483,0.002324
AERIS-noCAS,outdoor_suburban,50,30,0.799457,0.013019
AERIS-noCAS,outdoor_suburban,100,30,0.786103,0.008915
AERIS-noCAS,outdoor_suburban,200,30,0.782993,0.006842
AERIS-noCAS,outdoor_suburban,300,30,0.776637,0.004238
AERIS-noCAS,outdoor_suburban,500,30,0.776593,0.004277
AERIS-noCAS,outdoor_suburban,800,30,0.777737,0.004238
AERIS-noCAS,outdoor_suburban,1000,30,0.775233,0.00357
AERIS-noCAS,outdoor_urban,50,30,0.196547,0.021165
AERIS-noCAS,outdoor_urban,100,30,0.193523,0.013983
AERIS-noCAS,outdoor_urban,200,30,0.193867,0.012552
AERIS-noCAS,outdoor_urban,300,30,0.19139,0.008108
AERIS-noCAS,outdoor_urban,500,30,0.19135,0.006413
AERIS-noCAS,outdoor_urban,800,30,0.192137,0.005727
AERIS-noCAS,outdoor_urban,1000,30,0.191607,0.005152
AERIS-noFair,indoor_factory,50,30,0.60658,0.02199
AERIS-noFair,indoor_factory,100,30,0.600343,0.013468
AERIS-noFair,indoor_factory,200,30,0.59433,0.008879
AERIS-noFair,indoor_factory,300,30,0.595207,0.007749
AERIS-noFair,indoor_factory,500,30,0.59852,0.007294
AERIS-noFair,indoor_factory,800,30,0.592967,0.00491
AERIS-noFair,indoor_factory,1000,30,0.593077,0.004824
