environment,num_nodes,protocol,n,pdr_mean
indoor_office,100,AERIS,1000,0.0
indoor_office,100,HEED,1000,0.0
indoor_office,100,LEACH,1000,0.0
indoor_office,100,PEGASIS,1000,0.0
indoor_office,100,TEEN,1000,0.0
indoor_office,200,AERIS,1000,0.0
indoor_office,200,HEED,1000,0.0
indoor_office,200,LEACH,1000,0.0
indoor_office,200,PEGASIS,1000,0.0
indoor_office,200,TEEN,1000,0.0
indoor_office,300,AERIS,1000,0.0
indoor_office,300,HEED,1000,0.0
indoor_office,300,LEACH,1000,0.0
indoor_office,300,PEGASIS,1000,0.0
indoor_office,300,TEEN,1000,0.0
indoor_office,500,AERIS,1000,0.0
indoor_office,500,HEED,1000,0.0
indoor_office,500,LEACH,1000,0.0
indoor_office,500,PEGASIS,1000,0.0
indoor_office,500,TEEN,1000,0.0
indoor_office,800,AERIS,1000,0.0
indoor_office,800,HEED,1000,0.0
indoor_office,800,LEACH,1000,0.0
indoor_office,800,PEGASIS,1000,0.0
indoor_office,800,TEEN,1000,0.0
indoor_office,1000,AERIS,1000,0.0
indoor_office,1000,HEED,1000,0.0
indoor_office,1000,LEACH,1000,0.0
indoor_office,1000,PEGASIS,1000,0.0
indoor_office,1000,TEEN,1000,0.0
outdoor_suburban,100,AERIS,1000,0.0
outdoor_suburban,100,HEED,1000,0.0
outdoor_suburban,100,LEACH,1000,0.0
outdoor_suburban,100,PEGASIS,1000,0.0
outdoor_suburban,100,TEEN,1000,0.0
outdoor_suburban,200,AERIS,1000,0.0
outdoor_suburban,200,HEED,1000,0.0
outdoor_suburban,200,LEACH,1000,0.0
outdoor_suburban,200,PEGASIS,1000,0.0
outdoor_suburban,200,TEEN,1000,0.0
outdoor_suburban,300,AERIS,1000,0.0
outdoor_suburban,300,HEED,1000,0.0
outdoor_suburban,300,LEACH,1000,0.0
outdoor_suburban,300,PEGASIS,1000,0.0
outdoor_suburban,300,TEEN,1000,0.0
outdoor_suburban,500,AERIS,1000,0.0
outdoor_suburban,500,HEED,1000,0.0
outdoor_suburban,500,LEACH,1000,0.0
outdoor_suburban,500,PEGASIS,1000,0.0
outdoor_suburban,500,TEEN,1000,0.0
outdoor_suburban,800,AERIS,1000,0.0
outdoor_suburban,800,HEED,1000,0.0
outdoor_suburban,800,LEACH,1000,0.0
outdoor_suburban,800,PEGASIS,1000,0.0
outdoor_suburban,800,TEEN,1000,0.0
outdoor_suburban,1000,AERIS,1000,0.0
outdoor_suburban,1000,HEED,1000,0.0
outdoor_suburban,1000,LEACH,1000,0.0
outdoor_suburban,1000,PEGASIS,1000,0.0
outdoor_suburban,1000,TEEN,1000,0.0
outdoor_urban,100,AERIS,1000,0.0
outdoor_urban,100,HEED,1000,0.0
outdoor_urban,100,LEACH,1000,0.0
outdoor_urban,100,PEGASIS,1000,0.0
outdoor_urban,100,TEEN,1000,0.0
outdoor_urban,200,AERIS,1000,0.0
outdoor_urban,200,HEED,1000,0.0
outdoor_urban,200,LEACH,1000,0.0
outdoor_urban,200,PEGASIS,1000,0.0
outdoor_urban,200,TEEN,1000,0.0
outdoor_urban,300,AERIS,1000,0.0
outdoor_urban,300,HEED,1000,0.0
outdoor_urban,300,LEACH,1000,0.0
outdoor_urban,300,PEGASIS,1000,0.0
outdoor_urban,300,TEEN,1000,0.0
outdoor_urban,500,AERIS,1000,0.0
outdoor_urban,500,HEED,1000,0.0
outdoor_urban,500,LEACH,1000,0.0
outdoor_urban,500,PEGASIS,1000,0.0
outdoor_urban,500,TEEN,1000,0.0
outdoor_urban,800,AERIS,1000,0.0
outdoor_urban,800,HEED,1000,0.0
outdoor_urban,800,LEACH,1000,0.0
outdoor_urban,800,PEGASIS,1000,0.0
outdoor_urban,800,TEEN,1000,0.0
outdoor_urban,1000,AERIS,1000,0.0
outdoor_urban,1000,HEED,1000,0.0
outdoor_urban,1000,LEACH,1000,0.0
outdoor_urban,1000,PEGASIS,1000,0.0
outdoor_urban,1000,TEEN,1000,0.0
