environment,num_nodes,baseline,aeris_mean,baseline_mean,delta,hedges_g,t_stat,p_raw,p_holm,sig_holm_0_05
indoor_office,1000,LEACH,0.9898821932992292,0.62824361,0.36163858329922927,40.8193232619871,913.0906107163855,0.0,0.0,yes
indoor_office,1000,PEGASIS,0.9898821932992292,0.8941774179503841,0.09570477534884514,4.14998173760511,92.83126363783896,0.0,0.0,yes
indoor_office,1000,HEED,0.9898821932992292,0.8915184665543365,0.09836372674489269,21.524165506450352,481.4757290635339,0.0,0.0,yes
indoor_office,1000,TEEN,0.9898821932992292,0.8032164071162934,0.18666578618293583,87.49061585499426,1957.084377667374,0.0,0.0,yes
outdoor_urban,1000,LEACH,0.8846010429433525,0.06223455666666666,0.8223664862766858,186.08181228707528,4162.478503964941,0.0,0.0,yes
outdoor_urban,1000,PEGASIS,0.8846010429433525,0.04969724055385011,0.8349038023895023,30.811602702317145,689.2271326508961,0.0,0.0,yes
outdoor_urban,1000,HEED,0.8846010429433525,0.03408913516310435,0.8505119077802482,210.58199042590283,4710.524890620134,0.0,0.0,yes
outdoor_urban,1000,TEEN,0.8846010429433525,0.06623080256647627,0.8183702403768762,180.03773387809312,4027.278044852612,0.0,0.0,yes
outdoor_suburban,1000,LEACH,0.9895956087603872,0.30479495666666667,0.6848006520937205,104.79131729295295,2344.085111129278,0.0,0.0,yes
outdoor_suburban,1000,PEGASIS,0.9895956087603872,0.28746188654180616,0.7021337222185811,9.250816936547812,206.9322421639464,0.0,0.0,yes
outdoor_suburban,1000,HEED,0.9895956087603872,0.3232164585301594,0.6663791502302279,92.45014320320895,2068.024429911286,0.0,0.0,yes
outdoor_suburban,1000,TEEN,0.9895956087603872,0.36694693563661734,0.6226486731237699,98.95772884918273,2213.593118388414,0.0,0.0,yes
