protocol,environment,num_nodes,n,pdr_mean,pdr_std
AERIS,indoor_factory,50,30,0.612737,0.021754
HEED,indoor_factory,50,30,0.518307,0.022715
LEACH,indoor_factory,50,30,0.534243,0.025803
PEGASIS,indoor_factory,50,30,0.407313,0.00344
TEEN,indoor_factory,50,30,0.361343,0.018624
AERIS,indoor_factory,100,30,0.600233,0.013492
AERIS,indoor_factory,100,30,0.59874,0.01435
HEED,indoor_factory,100,30,0.526443,0.015906
LEACH,indoor_factory,100,30,0.53363,0.017617
PEGASIS,indoor_factory,100,30,0.42462,0.003288
TEEN,indoor_factory,100,30,0.370067,0.013552
AERIS,indoor_factory,200,30,0.596287,0.010926
HEED,indoor_factory,200,30,0.519693,0.01058
LEACH,indoor_factory,200,30,0.528753,0.012996
PEGASIS,indoor_factory,200,30,0.449153,0.002161
TEEN,indoor_factory,200,30,0.36227,0.008023
AERIS,indoor_factory,300,30,0.59567,0.007192
HEED,indoor_factory,300,30,0.518423,0.008291
LEACH,indoor_factory,300,30,0.524893,0.009365
PEGASIS,indoor_factory,300,30,0.464317,0.0016
TEEN,indoor_factory,300,30,0.362467,0.005617
AERIS,indoor_factory,500,30,0.593043,0.006388
HEED,indoor_factory,500,30,0.51831,0.007295
LEACH,indoor_factory,500,30,0.524027,0.007555
PEGASIS,indoor_factory,500,30,0.483243,0.001225
TEEN,indoor_factory,500,30,0.35759,0.005082
AERIS,indoor_factory,800,30,0.593947,0.005316
HEED,indoor_factory,800,30,0.518147,0.005494
LEACH,indoor_factory,800,30,0.524977,0.00615
PEGASIS,indoor_factory,800,30,0.499077,0.001057
TEEN,indoor_factory,800,30,0.35964,0.004358
AERIS,indoor_factory,1000,30,0.592153,0.00437
HEED,indoor_factory,1000,30,0.518893,0.004535
LEACH,indoor_factory,1000,30,0.525947,0.005256
PEGASIS,indoor_factory,1000,30,0.50675,0.001067
TEEN,indoor_factory,1000,30,0.35747,0.003477
AERIS,indoor_office,50,30,0.93624,0.00427
HEED,indoor_office,50,30,0.865763,0.007378
LEACH,indoor_office,50,30,0.923073,0.006322
PEGASIS,indoor_office,50,30,0.999983,3.8e-05
TEEN,indoor_office,50,30,0.61582,0.004796
AERIS,indoor_office,100,30,0.920363,0.002804
AERIS,indoor_office,100,30,0.921367,0.00256
HEED,indoor_office,100,30,0.87648,0.005902
LEACH,indoor_office,100,30,0.919467,0.00596
PEGASIS,indoor_office,100,30,0.999997,1.8e-05
TEEN,indoor_office,100,30,0.628653,0.002499
AERIS,indoor_office,200,30,0.916563,0.003131
HEED,indoor_office,200,30,0.871357,0.004623
LEACH,indoor_office,200,30,0.915217,0.004848
PEGASIS,indoor_office,200,30,0.999987,3.5e-05
TEEN,indoor_office,200,30,0.619693,0.001523
AERIS,indoor_office,300,30,0.915547,0.003343
HEED,indoor_office,300,30,0.870813,0.005841
LEACH,indoor_office,300,30,0.91036,0.006202
PEGASIS,indoor_office,300,30,0.999933,4.8e-05
TEEN,indoor_office,300,30,0.621377,0.002155
AERIS,indoor_office,500,30,0.913567,0.003034
HEED,indoor_office,500,30,0.87008,0.003757
LEACH,indoor_office,500,30,0.90924,0.00581
PEGASIS,indoor_office,500,30,0.999897,1.8e-05
TEEN,indoor_office,500,30,0.61256,0.001984
AERIS,indoor_office,800,30,0.91346,0.002947
HEED,indoor_office,800,30,0.86807,0.003992
LEACH,indoor_office,800,30,0.90837,0.005898
PEGASIS,indoor_office,800,30,0.999843,5e-05
TEEN,indoor_office,800,30,0.614493,0.001831
AERIS,indoor_office,1000,30,0.9134,0.00261
HEED,indoor_office,1000,30,0.869247,0.004574
LEACH,indoor_office,1000,30,0.910577,0.005684
PEGASIS,indoor_office,1000,30,0.999797,1.8e-05
TEEN,indoor_office,1000,30,0.610727,0.00169
AERIS,outdoor_suburban,50,30,0.79199,0.012736
HEED,outdoor_suburban,50,30,0.669193,0.016118
LEACH,outdoor_suburban,50,30,0.697353,0.019752
PEGASIS,outdoor_suburban,50,30,0.716823,0.004375
TEEN,outdoor_suburban,50,30,0.469377,0.015204
AERIS,outdoor_suburban,100,30,0.777387,0.008027
AERIS,outdoor_suburban,100,30,0.776523,0.007918
HEED,outdoor_suburban,100,30,0.67754,0.012727
LEACH,outdoor_suburban,100,30,0.694553,0.014325
PEGASIS,outdoor_suburban,100,30,0.72909,0.002324
TEEN,outdoor_suburban,100,30,0.479727,0.010897
AERIS,outdoor_suburban,200,30,0.7741,0.006136
HEED,outdoor_suburban,200,30,0.671963,0.00783
LEACH,outdoor_suburban,200,30,0.690953,0.010931
PEGASIS,outdoor_suburban,200,30,0.74007,0.002055
TEEN,outdoor_suburban,200,30,0.471367,0.00638
AERIS,outdoor_suburban,300,30,0.77243,0.005174
HEED,outdoor_suburban,300,30,0.67048,0.007335
LEACH,outdoor_suburban,300,30,0.6856,0.008729
PEGASIS,outdoor_suburban,300,30,0.745667,0.001557
TEEN,outdoor_suburban,300,30,0.471917,0.004774
AERIS,outdoor_suburban,500,30,0.770133,0.003963
HEED,outdoor_suburban,500,30,0.670287,0.006485
LEACH,outdoor_suburban,500,30,0.684873,0.006936
PEGASIS,outdoor_suburban,500,30,0.7518,0.001124
TEEN,outdoor_suburban,500,30,0.465347,0.004037
AERIS,outdoor_suburban,800,30,0.771247,0.003902
HEED,outdoor_suburban,800,30,0.669797,0.004232
LEACH,outdoor_suburban,800,30,0.68588,0.005471
PEGASIS,outdoor_suburban,800,30,0.756383,0.000729
TEEN,outdoor_suburban,800,30,0.46772,0.003506
AERIS,outdoor_suburban,1000,30,0.769657,0.003318
HEED,outdoor_suburban,1000,30,0.67042,0.004258
LEACH,outdoor_suburban,1000,30,0.6873,0.005399
PEGASIS,outdoor_suburban,1000,30,0.75862,0.0008
TEEN,outdoor_suburban,1000,30,0.464883,0.003153
AERIS,outdoor_urban,50,30,0.209723,0.025412
HEED,outdoor_urban,50,30,0.18983,0.022184
LEACH,outdoor_urban,50,30,0.189767,0.022997
PEGASIS,outdoor_urban,50,30,0.013243,0.000998
TEEN,outdoor_urban,50,30,0.129327,0.016765
AERIS,outdoor_urban,100,30,0.20594,0.014391
AERIS,outdoor_urban,100,30,0.202377,0.015105
HEED,outdoor_urban,100,30,0.193353,0.013555
LEACH,outdoor_urban,100,30,0.18985,0.014413
PEGASIS,outdoor_urban,100,30,0.010013,0.000708
TEEN,outdoor_urban,100,30,0.133887,0.01112
AERIS,outdoor_urban,200,30,0.20159,0.011495
HEED,outdoor_urban,200,30,0.18848,0.010205
LEACH,outdoor_urban,200,30,0.18665,0.010867
PEGASIS,outdoor_urban,200,30,0.01006,0.000394
TEEN,outdoor_urban,200,30,0.129553,0.007027
