environment,num_nodes,protocol,n,pdr_mean,pdr_std,ci95_half_width
indoor_office,100,AERIS,3200,0.971243,0.007198,0.000249
indoor_office,100,LEACH,3200,0.521201,0.024952,0.000865
indoor_office,100,PEGASIS,3200,0.990700,0.005590,0.000194
indoor_office,100,HEED,3200,0.282297,0.043672,0.001513
indoor_office,100,TEEN,3200,0.682017,0.010967,0.000380
indoor_office,200,AERIS,3200,0.919364,0.017332,0.000601
indoor_office,200,LEACH,3200,0.236226,0.016653,0.000577
indoor_office,200,PEGASIS,3200,0.990802,0.005470,0.000190
indoor_office,200,HEED,3200,0.237286,0.026011,0.000901
indoor_office,200,TEEN,3200,0.519814,0.013774,0.000477
indoor_office,300,AERIS,3200,0.830870,0.024339,0.000843
indoor_office,300,LEACH,3200,0.123330,0.008924,0.000309
indoor_office,300,PEGASIS,3200,0.990544,0.005535,0.000192
indoor_office,300,HEED,3200,0.168980,0.014292,0.000495
indoor_office,300,TEEN,3200,0.377587,0.014591,0.000506
indoor_office,500,AERIS,3200,0.866529,0.035698,0.001237
indoor_office,500,LEACH,3200,0.053233,0.002540,0.000088
indoor_office,500,PEGASIS,3200,0.990370,0.006184,0.000214
indoor_office,500,HEED,3200,0.075068,0.004677,0.000162
indoor_office,500,TEEN,3200,0.174298,0.010509,0.000364
indoor_office,800,AERIS,3200,0.740736,0.031335,0.001086
indoor_office,800,LEACH,3200,0.031223,0.000599,0.000021
indoor_office,800,PEGASIS,3200,0.989110,0.007156,0.000248
indoor_office,800,HEED,3200,0.025120,0.001591,0.000055
indoor_office,800,TEEN,3200,0.044607,0.003998,0.000139
indoor_office,1000,AERIS,3200,0.677134,0.030103,0.001043
indoor_office,1000,LEACH,3200,0.028221,0.000292,0.000010
indoor_office,1000,PEGASIS,3200,0.988406,0.007352,0.000255
indoor_office,1000,HEED,3200,0.013378,0.000954,0.000033
indoor_office,1000,TEEN,3200,0.017047,0.001871,0.000065
indoor_factory,100,AERIS,3200,0.927838,0.008519,0.000295
indoor_factory,100,LEACH,3200,0.170428,0.023413,0.000811
indoor_factory,100,PEGASIS,3200,0.358553,0.036490,0.001264
indoor_factory,100,HEED,3200,0.100266,0.017950,0.000622
indoor_factory,100,TEEN,3200,0.255660,0.019368,0.000671
indoor_factory,200,AERIS,3200,0.935804,0.007685,0.000266
indoor_factory,200,LEACH,3200,0.095116,0.010909,0.000378
indoor_factory,200,PEGASIS,3200,0.356669,0.041624,0.001442
indoor_factory,200,HEED,3200,0.081024,0.009935,0.000344
indoor_factory,200,TEEN,3200,0.191309,0.012629,0.000438
indoor_factory,300,AERIS,3200,0.937165,0.007843,0.000272
indoor_factory,300,LEACH,3200,0.054650,0.005552,0.000192
indoor_factory,300,PEGASIS,3200,0.360752,0.029219,0.001012
indoor_factory,300,HEED,3200,0.057853,0.005509,0.000191
indoor_factory,300,TEEN,3200,0.138489,0.009455,0.000328
indoor_factory,500,AERIS,3200,0.906109,0.017827,0.000618
indoor_factory,500,LEACH,3200,0.023253,0.001759,0.000061
indoor_factory,500,PEGASIS,3200,0.353547,0.072900,0.002526
indoor_factory,500,HEED,3200,0.027382,0.002160,0.000075
indoor_factory,500,TEEN,3200,0.064816,0.005041,0.000175
indoor_factory,800,AERIS,3200,0.792711,0.029913,0.001036
indoor_factory,800,LEACH,3200,0.012311,0.000527,0.000018
indoor_factory,800,PEGASIS,3200,0.322275,0.106386,0.003686
indoor_factory,800,HEED,3200,0.009913,0.000831,0.000029
indoor_factory,800,TEEN,3200,0.017490,0.001831,0.000063
indoor_factory,1000,AERIS,3200,0.728424,0.042740,0.001481
indoor_factory,1000,LEACH,3200,0.010779,0.000321,0.000011
indoor_factory,1000,PEGASIS,3200,0.299902,0.112652,0.003903
indoor_factory,1000,HEED,3200,0.005445,0.000516,0.000018
indoor_factory,1000,TEEN,3200,0.006989,0.000883,0.000031
outdoor_urban,100,AERIS,3200,0.747929,0.017154,0.000594
outdoor_urban,100,LEACH,3200,0.045778,0.010777,0.000373
outdoor_urban,100,PEGASIS,3200,0.121498,0.023264,0.000806
outdoor_urban,100,HEED,3200,0.029095,0.007545,0.000261
outdoor_urban,100,TEEN,3200,0.094550,0.013176,0.000457
outdoor_urban,200,AERIS,3200,0.783484,0.014177,0.000491
outdoor_urban,200,LEACH,3200,0.030849,0.005438,0.000188
outdoor_urban,200,PEGASIS,3200,0.126100,0.026646,0.000923
outdoor_urban,200,HEED,3200,0.022185,0.004166,0.000144
outdoor_urban,200,TEEN,3200,0.067079,0.007466,0.000259
outdoor_urban,300,AERIS,3200,0.800316,0.013902,0.000482
outdoor_urban,300,LEACH,3200,0.019731,0.002869,0.000099
outdoor_urban,300,PEGASIS,3200,0.130126,0.019525,0.000677
outdoor_urban,300,HEED,3200,0.015740,0.002436,0.000084
outdoor_urban,300,TEEN,3200,0.047188,0.004965,0.000172
outdoor_urban,500,AERIS,3200,0.730399,0.038789,0.001344
outdoor_urban,500,LEACH,3200,0.008988,0.001012,0.000035
outdoor_urban,500,PEGASIS,3200,0.127161,0.044562,0.001544
outdoor_urban,500,HEED,3200,0.007611,0.000999,0.000035
outdoor_urban,500,TEEN,3200,0.021903,0.002310,0.000080
outdoor_urban,800,AERIS,3200,0.252700,0.113686,0.003939
outdoor_urban,800,LEACH,3200,0.004731,0.000336,0.000012
outdoor_urban,800,PEGASIS,3200,0.110955,0.063538,0.002201
outdoor_urban,800,HEED,3200,0.002880,0.000368,0.000013
outdoor_urban,800,TEEN,3200,0.006105,0.000807,0.000028
outdoor_urban,1000,AERIS,3200,0.135935,0.067207,0.002329
outdoor_urban,1000,LEACH,3200,0.004102,0.000219,0.000008
outdoor_urban,1000,PEGASIS,3200,0.098670,0.066043,0.002288
outdoor_urban,1000,HEED,3200,0.001619,0.000234,0.000008
outdoor_urban,1000,TEEN,3200,0.002518,0.000407,0.000014
outdoor_suburban,100,AERIS,3200,0.955345,0.009131,0.000316
outdoor_suburban,100,LEACH,3200,0.297710,0.029276,0.001014
outdoor_suburban,100,PEGASIS,3200,0.543332,0.038807,0.001345
outdoor_suburban,100,HEED,3200,0.168751,0.026810,0.000929
outdoor_suburban,100,TEEN,3200,0.395088,0.019966,0.000692
outdoor_suburban,200,AERIS,3200,0.960185,0.005477,0.000190
outdoor_suburban,200,LEACH,3200,0.150699,0.014008,0.000485
