environment,num_nodes,variant,full_mean,variant_mean,delta_points,full_std,variant_std,n,hedges_g,t_stat,p_raw,p_holm,significant_005
indoor_factory,50,AERIS-noGW,0.605287,0.553027,-5.226,0.02258,0.025438,30,2.144619,8.415363,3.916806815525906e-17,2.5067563619365798e-15,YES
indoor_factory,50,AERIS-noCAS,0.605287,0.610017,0.473,0.02258,0.021134,30,-0.213479,-0.837679,0.4022112245390161,1.0,NO
indoor_factory,50,AERIS-noFair,0.605287,0.60658,0.1293,0.02258,0.02199,30,-0.057277,-0.224753,0.8221711133468678,1.0,NO
indoor_factory,100,AERIS-noGW,0.603807,0.538263,-6.5543,0.013372,0.018738,30,3.974211,15.594581,7.92418419604767e-55,5.388445253312416e-53,YES
indoor_factory,100,AERIS-noCAS,0.603807,0.60064,-0.3167,0.013372,0.014793,30,0.221663,0.869791,0.38441441329672876,1.0,NO
indoor_factory,100,AERIS-noFair,0.603807,0.600343,-0.3463,0.013372,0.013468,30,0.254715,0.999487,0.31755901262968866,1.0,NO
indoor_factory,200,AERIS-noGW,0.595107,0.535933,-5.9173,0.008133,0.012343,30,5.587763,21.926068,1.4655812929184848e-106,1.069874343830494e-104,YES
indoor_factory,200,AERIS-noCAS,0.595107,0.598837,0.373,0.008133,0.011424,30,-0.371268,-1.456835,0.1451619354631909,1.0,NO
indoor_factory,200,AERIS-noFair,0.595107,0.59433,-0.0777,0.008133,0.008879,30,0.090035,0.353291,0.7238700954161598,1.0,NO
indoor_factory,300,AERIS-noGW,0.594273,0.53468,-5.9593,0.007116,0.011676,30,6.083469,23.87119,6.102173131923265e-126,4.5156081176232155e-124,YES
indoor_factory,300,AERIS-noCAS,0.594273,0.593167,-0.1107,0.007116,0.007056,30,0.154151,0.604881,0.5452580779522549,1.0,NO
indoor_factory,300,AERIS-noFair,0.594273,0.595207,0.0933,0.007116,0.007749,30,-0.123833,-0.485912,0.6270295817252536,1.0,NO
indoor_factory,500,AERIS-noGW,0.5933,0.537553,-5.5747,0.005488,0.008055,30,7.983683,31.327521,1.9693445858081683e-215,1.4967018852142078e-213,YES
