protocol,environment,num_nodes,n,pdr_mean,pdr_std
AERIS,indoor_factory,50,30,0.612737,0.021754
AERIS,indoor_factory,100,30,0.600233,0.013492
AERIS,indoor_factory,200,30,0.596287,0.010926
AERIS,indoor_factory,300,30,0.59567,0.007192
AERIS,indoor_factory,500,30,0.593043,0.006388
AERIS,indoor_factory,800,30,0.593947,0.005316
AERIS,indoor_factory,1000,30,0.592153,0.00437
AERIS,indoor_office,50,30,0.93624,0.00427
AERIS,indoor_office,100,30,0.920363,0.002804
AERIS,indoor_office,200,30,0.916563,0.003131
AERIS,indoor_office,300,30,0.915547,0.003343
AERIS,indoor_office,500,30,0.913567,0.003034
AERIS,indoor_office,800,30,0.91346,0.002947
AERIS,indoor_office,1000,30,0.9134,0.00261
AERIS,outdoor_suburban,50,30,0.79199,0.012736
AERIS,outdoor_suburban,100,30,0.777387,0.008027
AERIS,outdoor_suburban,200,30,0.7741,0.006136
AERIS,outdoor_suburban,300,30,0.77243,0.005174
AERIS,outdoor_suburban,500,30,0.770133,0.003963
AERIS,outdoor_suburban,800,30,0.771247,0.003902
AERIS,outdoor_suburban,1000,30,0.769657,0.003318
AERIS,outdoor_urban,50,30,0.209723,0.025412
AERIS,outdoor_urban,100,30,0.20594,0.014391
AERIS,outdoor_urban,200,30,0.20159,0.011495
AERIS,outdoor_urban,300,30,0.201273,0.008396
AERIS,outdoor_urban,500,30,0.1997,0.00655
AERIS,outdoor_urban,800,30,0.200063,0.005373
AERIS,outdoor_urban,1000,30,0.199247,0.00442
CTP,indoor_factory,50,30,0.607337,0.028667
CTP,indoor_factory,100,30,0.61029,0.019861
CTP,indoor_factory,200,30,0.606587,0.013347
CTP,indoor_factory,300,30,0.604343,0.008761
CTP,indoor_factory,500,30,0.603747,0.007516
CTP,indoor_factory,800,30,0.60578,0.006852
CTP,indoor_factory,1000,30,0.60497,0.005619
CTP,indoor_office,50,30,0.999993,2.5e-05
CTP,indoor_office,100,30,1.0,0.0
CTP,indoor_office,200,30,1.0,0.0
CTP,indoor_office,300,30,1.0,0.0
CTP,indoor_office,500,30,1.0,0.0
CTP,indoor_office,800,30,1.0,0.0
CTP,indoor_office,1000,30,1.0,0.0
CTP,outdoor_suburban,50,30,0.768733,0.022201
CTP,outdoor_suburban,100,30,0.770897,0.015631
CTP,outdoor_suburban,200,30,0.768347,0.010934
CTP,outdoor_suburban,300,30,0.767,0.007353
CTP,outdoor_suburban,500,30,0.766627,0.005682
CTP,outdoor_suburban,800,30,0.768643,0.005385
CTP,outdoor_suburban,1000,30,0.768117,0.004532
CTP,outdoor_urban,50,30,0.24727,0.03426
CTP,outdoor_urban,100,30,0.2545,0.018045
CTP,outdoor_urban,200,30,0.252157,0.015094
CTP,outdoor_urban,300,30,0.25164,0.010293
CTP,outdoor_urban,500,30,0.251173,0.00818
CTP,outdoor_urban,800,30,0.252837,0.007318
CTP,outdoor_urban,1000,30,0.25294,0.005468
HEED,indoor_factory,50,30,0.518307,0.022715
HEED,indoor_factory,100,30,0.526443,0.015906
HEED,indoor_factory,200,30,0.519693,0.01058
HEED,indoor_factory,300,30,0.518423,0.008291
HEED,indoor_factory,500,30,0.51831,0.007295
HEED,indoor_factory,800,30,0.518147,0.005494
HEED,indoor_factory,1000,30,0.518893,0.004535
HEED,indoor_office,50,30,0.865763,0.007378
HEED,indoor_office,100,30,0.87648,0.005902
HEED,indoor_office,200,30,0.871357,0.004623
HEED,indoor_office,300,30,0.870813,0.005841
HEED,indoor_office,500,30,0.87008,0.003757
HEED,indoor_office,800,30,0.86807,0.003992
HEED,indoor_office,1000,30,0.869247,0.004574
HEED,outdoor_suburban,50,30,0.669193,0.016118
