environment,num_nodes,aeris_pdr_mean,best_classical_protocol,best_classical_pdr_mean,aeris_minus_best_classical_pp,margin_ci95_pp,aeris_rank,aeris_top2,near_tie_abs_margin_le_0p1pp
indoor_office,50,0.936240,PEGASIS,0.999983,-6.3743,0.1528,2,1,0
indoor_office,100,0.920865,PEGASIS,0.999997,-7.9132,0.0960,2,1,0
indoor_office,200,0.916563,PEGASIS,0.999987,-8.3424,0.1120,2,1,0
indoor_office,300,0.915547,PEGASIS,0.999933,-8.4386,0.1196,2,1,0
indoor_office,500,0.913567,PEGASIS,0.999897,-8.6330,0.1086,2,1,0
indoor_office,800,0.913460,PEGASIS,0.999843,-8.6383,0.1055,2,1,0
indoor_office,1000,0.913400,PEGASIS,0.999797,-8.6397,0.0934,2,1,0
indoor_factory,50,0.612737,LEACH,0.534243,7.8494,1.2077,1,1,0
indoor_factory,100,0.599487,LEACH,0.533630,6.5856,0.8035,1,1,0
indoor_factory,200,0.596287,LEACH,0.528753,6.7534,0.6076,1,1,0
indoor_factory,300,0.595670,LEACH,0.524893,7.0777,0.4225,1,1,0
indoor_factory,500,0.593043,LEACH,0.524027,6.9016,0.3540,1,1,0
indoor_factory,800,0.593947,LEACH,0.524977,6.8970,0.2909,1,1,0
indoor_factory,1000,0.592153,LEACH,0.525947,6.6206,0.2446,1,1,0
outdoor_suburban,50,0.791990,PEGASIS,0.716823,7.5167,0.4819,1,1,0
outdoor_suburban,100,0.776955,PEGASIS,0.729090,4.7865,0.2972,1,1,0
outdoor_suburban,200,0.774100,PEGASIS,0.740070,3.4030,0.2316,1,1,0
outdoor_suburban,300,0.772430,PEGASIS,0.745667,2.6763,0.1934,1,1,0
outdoor_suburban,500,0.770133,PEGASIS,0.751800,1.8333,0.1474,1,1,0
outdoor_suburban,800,0.771247,PEGASIS,0.756383,1.4864,0.1420,1,1,0
outdoor_suburban,1000,0.769657,PEGASIS,0.758620,1.1037,0.1221,1,1,0
outdoor_urban,50,0.209723,HEED,0.189830,1.9893,1.2071,1,1,0
outdoor_urban,100,0.204159,HEED,0.193353,1.0806,0.7168,1,1,0
outdoor_urban,200,0.201590,HEED,0.188480,1.3110,0.5501,1,1,0
outdoor_urban,300,0.201273,HEED,0.188053,1.3220,0.4128,1,1,0
outdoor_urban,500,0.199700,HEED,0.187897,1.1803,0.3247,1,1,0
outdoor_urban,800,0.200063,HEED,0.187763,1.2300,0.2564,1,1,0
outdoor_urban,1000,0.199247,HEED,0.188480,1.0767,0.2083,1,1,0
