environment,num_nodes,n,pdr_expected_mean,pdr_expected_std,energy_mean,energy_std,lifetime_mean,lifetime_std,first_node_death_round_mean,first_node_death_round_std,half_nodes_death_round_mean,half_nodes_death_round_std,avg_hop_count_mean,avg_hop_count_std,cluster_to_ch_pdr_total_mean,cluster_to_ch_pdr_total_std,ch_to_bs_pdr_total_mean,ch_to_bs_pdr_total_std,gateway_link_pdr_total_mean,gateway_link_pdr_total_std,gateway_uplink_attempts_total_mean,gateway_uplink_attempts_total_std,gateway_uplink_success_total_mean,gateway_uplink_success_total_std,gateway_uplink_pdr_total_mean,gateway_uplink_pdr_total_std,gateway_uplink_suppressed_total_mean,gateway_uplink_suppressed_total_std,gateway_concurrency_usage_avg_mean,gateway_concurrency_usage_avg_std,skeleton_backbone_size_mean,skeleton_backbone_size_std,skeleton_assignments_mean,skeleton_assignments_std,cas_total_decisions_mean,cas_total_decisions_std,cas_DIRECT_mean,cas_DIRECT_std,cas_CHAIN_mean,cas_CHAIN_std,cas_TWO_HOP_mean,cas_TWO_HOP_std,cas_safety_override_mean,cas_safety_override_std
indoor_factory,100,400,0.9282382743931052,0.00826984325010052,190.28113657705214,4.215656222841168,192.95,18.684224646117013,3.65,1.5791562100817,51.96,14.138356793916335,1.9793461454322319,0.009949111444014919,0.5313084429118597,0.021930197984328537,0.5748175298259985,0.03405506669159111,0.9685731197043416,0.036722503819203015,652.6425,111.45908447736025,651.915,111.45700711974203,0.9988511936822583,0.001076011501933521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.2225,117.70368893847088,647.1925,163.95231424752072,0.0025,0.05,55.0275,63.15566751764244,14.8625,10.102660695719326
indoor_factory,500,400,0.9065692058889748,0.018223546636758944,973.0111719259224,50.241060556443855,115.2425,44.6829958602556,1.0,0.0,34.0575,8.20350152942988,1.9967897219181066,0.0034635963380996206,0.5667490833408144,0.018643056306848614,0.03853164577761134,0.011033291986090375,0.8831925792336037,0.02622943903820168,453.385,177.91277121218982,451.9525,177.92747316819865,0.9962031205439896,0.003384553918435281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474.05,373.21187717321897,657.5125,340.87929179209715,0.0,0.0,816.5375,196.35283211721477,38.695,28.107152203888095
indoor_factory,1000,400,0.7280548040015862,0.040684766948387,2140.2412234678623,12.556180998762054,32.8675,3.222717567721884,1.0,0.0,4.5275,1.5264563283323123,1.9825201505468408,0.014816887128439786,0.5532040178575839,0.01885397069138842,0.006939935952645986,0.0004940547562479249,0.7429432221454225,0.06802394970832182,136.8725,13.330246901544635,132.695,13.390490584561794,0.9693294860614546,0.021022272713171745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.115,117.46741360115733,366.79,67.09217017093435,0.0,0.0,436.325,129.75973314501175,154.205,81.42966259217023
indoor_office,100,400,0.971442528906391,0.007062272346017704,156.2815572476441,7.449068726759532,226.385,20.856155519597664,13.72,5.472336444829899,114.855,25.108465955861213,1.986643643031552,0.007601129485118784,0.7503633052051094,0.029852686017188004,0.777312969384773,0.018497732559970656,0.0475,0.21297216451250817,647.8525,77.735530973225,647.78,77.72270354675358,0.9998887571684619,0.00040178245740064535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0975,78.59128111577355,593.8025,87.63551478927337,0.0,0.0,59.295,52.49559451619748,2.41,3.749272276924722
indoor_office,500,400,0.8696486354489946,0.03449326738929336,958.0930973988885,26.85588212357642,92.6725,8.874239351074005,1.0,0.0,25.39,6.374125326992758,1.9958916331514103,0.0038668617170415725,0.533142496332076,0.05267276216859017,0.04738929356338849,0.004800789621693421,0.9808506952898539,0.024682127709352686,363.7225,30.855155083682455,363.5275,30.860170431279524,0.9994603361978855,0.0011016390991942003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.5025,138.49945936486864,314.82,123.20393916821985,0.0,0.0,610.6825,159.6118622162851,148.74,126.73840759572352
indoor_office,1000,400,0.6772358994452088,0.03129736406249003,2116.7667414448842,10.227968106106596,79.9925,7.269770812699183,1.0,0.0,1.0,0.0,1.977244785780816,0.017098627922621852,0.41201477258037533,0.03737520233030714,0.012565429773623049,0.0030439397613702306,0.6698359949090394,0.20421599675752972,255.995,23.593783961120142,255.7575,23.611065197262352,0.9990605590494392,0.001971487196344418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.71,73.71686605419502,329.235,75.96114146411524,0.0,0.0,182.475,47.419097439797525,222.7525,80.70125758741605
outdoor_suburban,100,400,0.9558097218078784,0.009175473915337583,188.29762668926924,4.873477016240227,215.4525,26.766843360933915,4.3375,2.1082470239002973,58.42,19.27322606902564,1.9794714974000056,0.010460856356261363,0.614275449810179,0.04096619869549657,0.7307302509198876,0.027174764738231605,0.9913541666666668,0.07691946161349217,542.92,140.00062155250498,542.2725,139.98755133966446,0.9987422464394622,0.0011155587109319362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.77,140.36771294387015,495.2625,166.61685549513805,0.0,0.0,58.5075,49.96650450733676,3.2625,3.772821119268045
outdoor_suburban,500,400,0.9194285412621608,0.017869921631479515,976.8939921792465,41.694606732028475,116.6525,49.72573141404412,1.0,0.0,29.995,6.451669170665782,1.9966782022077143,0.0035005004591193733,0.6395040370969491,0.032126603291887185,0.033705582642779446,0.008664896799029423,0.9245960106289144,0.02268719662614824,415.245,154.70834384135634,414.4025,154.75141516311723,0.9976399524956284,0.0016936800269962942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243.52,304.45961759627033,351.7675,197.2593891561963,0.0,0.0,891.7525,172.2486872792462,16.5975,24.785505784479792
outdoor_suburban,1000,400,0.7249323732724798,0.033343818222446024,2121.477059004993,11.270213160551789,45.9575,5.628934714050039,1.0,0.0,2.5775,0.8722935228321586,1.9881848168833665,0.011563201490261639,0.5466994689138577,0.023654493123549097,0.008377014050440734,0.0004385085871765639,0.7061197138689912,0.0562082043544023,171.4175,13.872971639315894,169.6625,13.858887605582217,0.9897376183015106,0.008328988612197318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.295,68.06139772036072,351.6075,60.19811439065576,0.0,0.0,375.6875,85.0384836589148,174.9,70.86087183978714
outdoor_urban,100,400,0.7467808965032439,0.01710754773144615,191.5683721941188,4.35461758408225,125.385,12.353473023378825,2.0,1.4526787976779512,37.2975,12.794853043744878,1.9735138040401636,0.013856278477763568,0.2867867979366827,0.014012728278494571,0.3041664313390317,0.03113824937316278,0.636685115771497,0.08487853764308895,516.67,92.25347070513314,515.605,92.2396300316243,0.9978692701702507,0.002125747611433587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.275,131.71439206743597,595.015,143.52232027123898,0.7425,1.5945375898088083,57.5175,33.11277447350695,472.5775,94.45028392802858
